Stations number,X,Y,Type
1,165,50,PD
2,210,50,PD
3,165,90,PD
4,210,90,PD
5,210,130,PD
6,370,80,PD
7,460,80,PD
8,370,130,PD
9,410,130,PD
10,460,130,PD
11,460,180,PD
12,760,90,PD
13,760,140,PD
14,760,180,PD
15,850,180,PD
16,1040,50,PD
17,1225,50,PD
18,1375,50,PD
19,1040,190,PD
20,1375,190,PD
21,50,310,C
22,50,410,P
23,50,525,C
24,50,575,P
25,415,310,PD
26,415,360,PD
27,415,410,PD
28,415,465,PD
29,325,530,PD
30,325,575,PD
31,400,630,PD
32,485,530,PD
33,485,575,PD
34,520,630,PD
35,550,530,PD
36,550,575,PD
37,600,530,PD
38,600,575,PD
39,660,525,PD
40,660,575,PD
41,660,630,PD
42,715,630,PD
43,735,310,C
44,820,310,P
45,1040,310,C
46,1375,310,P
47,1225,465,C
48,915,500,PD
49,915,550,PD
50,915,595,PD
51,915,645,PD
52,965,500,PD
53,965,550,PD
54,965,595,PD
55,965,645,PD
56,1015,500,PD
57,1015,550,PD
58,1015,595,PD
59,1015,645,PD
60,1085,510,PD
61,1085,600,PD
62,1225,510,PD
63,1390,510,PD
64,1390,575,PD
65,1330,650,PD
66,455,705,PD
67,455,775,PD
68,775,705,PD
69,775,775,PD
70,105,850,C
71,150,850,C
72,195,850,P
73,370,850,P
74,415,850,P
75,455,850,C
76,500,850,C
77,550,850,P
78,600,850,P
